ts_ms,horizontal_range,hr_start,hr_end,hor_upper,hor_lower,uptrend,uptrend_start,uptrend_end,downtrend,downtrend_start,downtrend_end,hr_uptrend,hr_downtrend,hr_start_marker,hr_end_marker,uptrend_start_marker,uptrend_end_marker,downtrend_start_marker,downtrend_end_marker,hr_breakout_attempt,hr_pending_breakout,hr_breakout_confirmed,hr_false_breakout,hr_reclaim,hr_break_direction,hr_break_extreme,hr_reclaim_marker
1617825600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617840000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617854400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617868800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617883200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617897600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617912000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617926400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617940800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617955200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617969600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617984000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1617998400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618012800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618027200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618041600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618056000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618070400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618084800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618099200000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618113600000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618128000000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618142400000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618156800000,true,false,false,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,,,,,,false,false,false,false,false,,,
1618171200000,true,false,true,1.26694846,1.11944675,true,false,false,false,false,false,true,false,,1.26600003,,,,,false,false,false,false,false,,,
1618185600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,true,true,false,false,false,1,1.33420002,
1618200000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618214400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618228800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618243200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618257600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618272000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618286400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.34899998,
1618300800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.36839998,
1618315200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.43169999,
1618329600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.44500005,
1618344000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.44500005,
1618358400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.48500001,
1618372800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.55149996,
1618387200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618401600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618416000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618430400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618444800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618459200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618473600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,true,false,false,false,1,1.5675,
1618488000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,true,false,false,1,1.5675,
1618502400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618516800000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618531200000,false,false,false,,,true,false,true,true,true,false,false,false,,,,1.52289999,1.52289999,,false,false,false,false,false,,,
1618545600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618560000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618574400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618588800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618603200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618617600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618632000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618646400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618660800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618675200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618689600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618704000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618718400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618732800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618747200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618761600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618776000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618790400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618804800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618819200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618833600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618848000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618862400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618876800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618891200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618905600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618920000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618934400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618948800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618963200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618977600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1618992000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619006400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619020800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619035200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619049600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619064000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619078400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619092800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619107200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619121600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619136000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619150400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619164800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619179200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619193600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619208000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619222400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619236800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619251200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619265600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619280000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619294400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619308800000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619323200000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619337600000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619352000000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619366400000,false,false,false,,,false,false,false,true,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619380800000,false,false,false,,,true,true,false,true,false,true,false,false,,,1.01909995,,,1.01909995,false,false,false,false,false,,,
1619395200000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619409600000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619424000000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
1619438400000,false,false,false,,,true,false,false,false,false,false,false,false,,,,,,,false,false,false,false,false,,,
