ts_ms,fast_vwap,slow_vwap,vwap_color
1664668800000,19402.0918,19493.7598,red
1664683200000,19397.6738,19491.9316,red
1664697600000,19383.7031,19487.502,red
1664712000000,19376.0996,19485.1328,red
1664726400000,19369.3242,19482.5508,red
1664740800000,19332.7109,19471.3691,red
1664755200000,19321.0605,19467.1289,red
1664769600000,19310.9961,19462.5664,red
1664784000000,19306.2383,19460.1289,red
1664798400000,19307.2266,19454.7422,red
1664812800000,19329.1035,19455.9062,red
1664827200000,19345.8574,19458.1582,red
1664841600000,19357.6836,19459.6797,red
1664856000000,19403.1621,19468.0684,red
1664870400000,19462.4004,19480.7637,red
1664884800000,19536.3027,19498.7676,green
1664899200000,19582.2148,19511.0605,green
1664913600000,19649.9844,19530.0273,green
1664928000000,19671.9512,19536.5957,green
1664942400000,19698.5938,19544.7441,green
1664956800000,19725.9355,19554.1289,green
1664971200000,19752.5293,19566.4863,green
1664985600000,19791.9707,19581.6191,green
1665000000000,19811.418,19589.8906,green
1665014400000,19851.3711,19604.7441,green
1665028800000,19882.9199,19617.7129,green
1665043200000,19896.6699,19624.1895,green
1665057600000,19921.3516,19641.4492,green
1665072000000,19935.4492,19651.9766,green
1665086400000,19936.4375,19655.5215,green
1665100800000,19938.3984,19658.6836,green
1665115200000,19936.8867,19661.4551,green
1665129600000,19938.3281,19664.1875,green
1665144000000,19883.9199,19665.7246,green
1665158400000,19846.3828,19660.4883,green
1665172800000,19837.375,19659.5078,green
1665187200000,19830.9453,19658.8223,green
1665201600000,19823.9238,19657.9531,green
1665216000000,19818.4824,19657.3516,green
1665230400000,19809.8906,19656.3281,green
1665244800000,19800.0195,19655.1543,green
1665259200000,19771.5664,19651.0469,green
1665273600000,19758.8242,19649.2129,green
1665288000000,19744.4609,19647.1641,green
1665302400000,19726.3047,19644.7695,green
1665316800000,19716.0254,19643.5059,green
1665331200000,19694.0488,19640.3262,green
1665345600000,19682.0781,19638.4766,green
1665360000000,19668.6797,19636.3906,green
1665374400000,19652.9219,19633.7617,green
1665388800000,19597.8164,19623.084,red
1665403200000,19566.6602,19615.9688,red
1665417600000,19524.1875,19605.4043,red
1665432000000,19491.707,19596.8398,red
1665446400000,19457.3398,19587.5371,red
1665460800000,19439.6426,19582.4609,red
1665475200000,19425.1426,19578.1074,red
1665489600000,19364.877,19558.166,red
1665504000000,19340.0137,19549.3418,red
1665518400000,19330.7441,19545.9238,red
1665532800000,19319.8809,19541.7246,red
1665547200000,19310.9688,19537.8828,red
1665561600000,19304.4961,19534.9473,red
1665576000000,19274.1152,19521.8184,red
1665590400000,19265.4316,19517.1836,red
1665604800000,19262.291,19514.9004,red
1665619200000,19254.7754,19511.3828,red
1665633600000,19241.0391,19505.7695,red
1665648000000,19138.9082,19470.0469,red
1665662400000,18987.0527,19396.7168,red
1665676800000,19017.2383,19391.9062,red
1665691200000,19028.4766,19391.9258,red
