ts_ms,close_research_slow_delta
1661500800000,-321.574219
1661515200000,-573.681641
1661529600000,-643.640625
1661544000000,-965.974609
1661558400000,-963.978516
1661572800000,-834.875
1661587200000,-867.341797
1661601600000,-1003.29883
1661616000000,-913.712891
1661630400000,-865.826172
1661644800000,-874.755859
1661659200000,-790.923828
1661673600000,-783.345703
1661688000000,-722.208984
1661702400000,-741.150391
1661716800000,-1035.25781
1661731200000,-662.207031
1661745600000,-600.523438
1661760000000,-648.818359
1661774400000,-150.404297
1661788800000,-292.525391
1661803200000,-100.337891
1661817600000,-111.181641
1661832000000,50.1972656
1661846400000,20.0039062
1661860800000,-548.847656
1661875200000,-283.929688
1661889600000,-398.242188
1661904000000,190.804688
1661918400000,35.8085938
1661932800000,93.3769531
1661947200000,-67.7753906
1661961600000,18.1445312
1661976000000,-151.681641
1661990400000,-171.5
1662004800000,-286.634766
1662019200000,-86.3242188
1662033600000,-345.582031
1662048000000,-214.003906
1662062400000,45.6347656
1662076800000,74.4785156
1662091200000,19.4570312
1662105600000,-3.68945312
1662120000000,237.90625
1662134400000,-191.455078
1662148800000,-149.648438
1662163200000,-196.365234
1662177600000,-267.875
1662192000000,-275.228516
1662206400000,-301.433594
1662220800000,-334.917969
1662235200000,-209.232422
1662249600000,-266.988281
1662264000000,-388.085938
1662278400000,-156.367188
1662292800000,-191.652344
1662307200000,-92.0722656
1662321600000,31.2773438
1662336000000,-81.0429688
1662350400000,-207.048828
1662364800000,-247.105469
1662379200000,-81.7597656
1662393600000,-212.541016
1662408000000,-123.816406
1662422400000,-126.505859
1662436800000,0.986328125
1662451200000,8.953125
1662465600000,-76.5449219
1662480000000,-856.060547
1662494400000,-821.707031
1662508800000,-775.740234
1662523200000,-687.152344
1662537600000,-731.435547
1662552000000,-556.009766
1662566400000,-397.740234
1662580800000,-82.5214844
1662595200000,-152.984375
1662609600000,-192.628906
1662624000000,-50.3417969
1662638400000,-91.6230469
1662652800000,14.9980469
1662667200000,-17.3691406
1662681600000,570.056641
1662696000000,1038.08008
1662710400000,1165.06836
1662724800000,1352.64844
1662739200000,1258.43359
1662753600000,1244.5625
1662768000000,1152.98633
1662782400000,1040.96484
1662796800000,1026.4082
1662811200000,924.392578
1662825600000,1200.37109
1662840000000,1176.63281
1662854400000,1031.48438
1662868800000,1045.4375
1662883200000,1000.41797
1662897600000,972.431641
1662912000000,890.226562
1662926400000,1018.03711
1662940800000,636.642578
1662955200000,1107.65039
1662969600000,1072.32031
1662984000000,779.462891
1662998400000,1033.97656
1663012800000,968.298828
1663027200000,760.203125
1663041600000,712.802734
1663056000000,894.380859
1663070400000,-754.28125
1663084800000,-1140.21484
1663099200000,-1178.60156
1663113600000,-984.136719
1663128000000,-1030.47266
1663142400000,-1007.7832
1663156800000,-989.490234
1663171200000,-1097.2832
1663185600000,-774.884766
