ts_ms,research_source_1_ang_pct_span_10
1664193600000,20.2520084
1664208000000,19.5954494
1664222400000,18.8977261
1664236800000,18.1800823
1664251200000,17.6122589
1664265600000,17.0966606
1664280000000,16.7316532
1664294400000,16.1208858
1664308800000,15.7566414
1664323200000,15.0266619
1664337600000,14.2332392
1664352000000,13.5495634
1664366400000,12.9019775
1664380800000,12.3000689
1664395200000,12.0261364
1664409600000,11.6361456
1664424000000,11.5746155
1664438400000,11.4584188
1664452800000,11.4932995
1664467200000,11.7631559
1664481600000,12.6160784
1664496000000,13.2226181
1664510400000,14.1288757
1664524800000,14.7742319
1664539200000,15.5811405
1664553600000,16.4673672
1664568000000,17.2948914
1664582400000,18.2035904
1664596800000,18.8878231
1664611200000,18.8681736
1664625600000,19.0481873
1664640000000,18.8458519
1664654400000,18.6805782
1664668800000,18.5411339
1664683200000,18.4793148
1664697600000,18.2461739
1664712000000,18.0639763
1664726400000,17.9444904
1664740800000,17.7440376
1664755200000,17.3718128
1664769600000,16.8675175
1664784000000,16.4190197
1664798400000,15.807107
1664812800000,15.1367655
1664827200000,14.860218
1664841600000,14.400589
1664856000000,13.7608595
1664870400000,13.4049339
1664884800000,13.131237
1664899200000,13.1964808
1664913600000,12.9962444
1664928000000,12.9602919
1664942400000,12.8841801
1664956800000,12.4140577
1664971200000,12.7693872
1664985600000,13.5708046
1665000000000,14.0722322
1665014400000,14.6661081
1665028800000,14.9736605
1665043200000,15.1486158
1665057600000,15.2843895
1665072000000,15.5422335
1665086400000,15.9503345
1665100800000,15.6162329
1665115200000,14.4942846
1665129600000,13.6830111
1665144000000,12.7541275
1665158400000,12.3777647
1665172800000,12.4430799
1665187200000,12.5483837
1665201600000,12.5381575
1665216000000,12.4622679
1665230400000,12.6792507
1665244800000,13.2596684
1665259200000,13.4171104
1665273600000,13.3758278
1665288000000,12.9417048
1665302400000,11.8805494
1665316800000,10.8295717
1665331200000,9.17931557
1665345600000,7.8821187
1665360000000,6.76468754
1665374400000,5.64650011
1665388800000,5.01124001
1665403200000,4.18927908
1665417600000,3.34803128
1665432000000,2.89388514
1665446400000,2.33238006
1665460800000,2.459517
1665475200000,2.12357068
1665489600000,1.67535472
1665504000000,1.25447536
1665518400000,0.56651473
1665532800000,0.160098508
1665547200000,-0.294916093
1665561600000,-0.465530515
1665576000000,-0.403382838
1665590400000,-0.46015358
1665604800000,-0.12829949
1665619200000,-0.126973972
1665633600000,-0.383427799
1665648000000,-0.528967559
1665662400000,-0.240756795
1665676800000,0.0979179144
1665691200000,0.240847975
1665705600000,0.627254009
1665720000000,0.951349914
1665734400000,1.46673048
1665748800000,1.94216692
1665763200000,2.99403548
1665777600000,4.05645323
1665792000000,4.75042343
1665806400000,5.25877285
1665820800000,5.91150093
1665835200000,5.97678566
1665849600000,6.12057829
1665864000000,5.97152853
1665878400000,5.94117928
1665892800000,5.77469873
1665907200000,5.47920656
1665921600000,4.60701799
1665936000000,3.97337055
1665950400000,3.15850449
1665964800000,2.5144999
1665979200000,1.86417186
1665993600000,1.16875958
1666008000000,0.569553375
1666022400000,-0.11745479
1666036800000,-0.615421295
1666051200000,-0.496819943
1666065600000,-0.58808428
1666080000000,-0.49044469
1666094400000,-0.448797554
1666108800000,-0.476238459
1666123200000,-0.468521595
1666137600000,-0.418952048
1666152000000,-0.385060817
1666166400000,-0.53115344
1666180800000,-0.445015788
1666195200000,-0.190562308
1666209600000,-0.00389026571
1666224000000,0.221934229
1666238400000,0.463558972
1666252800000,0.690865517
1666267200000,0.654299498
1666281600000,0.447995633
1666296000000,0.33435598
1666310400000,-0.113610752
1666324800000,-0.71411711
1666339200000,-1.37300932
1666353600000,-1.91254234
1666368000000,-2.32138205
1666382400000,-2.7038455
1666396800000,-2.93039894
1666411200000,-3.0901432
1666425600000,-3.28896737
1666440000000,-3.26331449
1666454400000,-3.29018617
1666468800000,-3.13780761
1666483200000,-3.21685576
1666497600000,-3.39714622
1666512000000,-3.68709207
1666526400000,-3.92207646
1666540800000,-3.86045814
1666555200000,-3.72831273
1666569600000,-3.87648392
1666584000000,-3.9040153
1666598400000,-4.30921221
1666612800000,-4.6290431
1666627200000,-5.06125355
1666641600000,-5.36640167
1666656000000,-5.82374859
1666670400000,-6.43312836
1666684800000,-7.08807135
1666699200000,-7.4387393
1666713600000,-7.55597353
1666728000000,-7.50686502
1666742400000,-7.45906448
1666756800000,-7.4161129
1666771200000,-7.53350019
1666785600000,-7.45954227
1666800000000,-7.42976141
1666814400000,-7.21347952
