ts_ms,bb_middle,bb_upper_band,bb_lower_band
1609488000000,28844.1074,29700.2871,27987.9258
1609502400000,28906.0352,29753.6172,28058.4551
1609516800000,28995.2148,29600.2344,28390.1934
1609531200000,29084.3223,29501.7891,28666.8535
1609545600000,29129.4648,29547.1934,28711.7344
1609560000000,29197.8926,29734.541,28661.2441
1609574400000,29255.1777,29875.9531,28634.4043
1609588800000,29441.7852,30897.9668,27985.6055
1609603200000,29742.6074,32104.0527,27381.1621
1609617600000,29986.6074,32599.9199,27373.2949
1609632000000,30255.6777,33132.043,27379.3145
1609646400000,30653.5352,34169.8828,27137.1895
1609660800000,31017.25,34946.3281,27088.1719
1609675200000,31332.3926,35321.7031,27343.082
1609689600000,31574.75,35479.3086,27670.1934
1609704000000,31847.1074,35602.1992,28092.0137
1609718400000,32170.0352,35688.1875,28651.8828
1609732800000,32372.1426,35536.6055,29207.6816
1609747200000,32466.9277,35338.3555,29595.5039
1609761600000,32600.1777,35125.793,30074.5645
1609776000000,32733.7852,34821.0664,30646.5059
1609790400000,32750.4648,34811.7461,30689.1836
1609804800000,32613.8574,34804.7773,30422.9395
1609819200000,32516.1074,34884.5,30147.7148
1609833600000,32455.9277,34847.7617,30064.0957
1609848000000,32286.8574,34386.5547,30187.1602
1609862400000,32242.8926,34180.1133,30305.6719
1609876800000,32279.8926,34333.3867,30226.4004
1609891200000,32381.25,34656.5156,30105.9844
1609905600000,32505.7148,35092.2344,29919.1934
1609920000000,32611.75,35476.1367,29747.3633
1609934400000,32789.1797,35837.3477,29741.0098
1609948800000,33092.75,36114.7266,30070.7715
1609963200000,33462.1055,36948.7773,29975.4375
1609977600000,33882,37811.5156,29952.4863
1609992000000,34231.9648,38316.3359,30147.5918
1610006400000,34715.4297,38861.8555,30569.002
1610020800000,35306.7852,39438.5781,31174.9941
1610035200000,35827.5,39914.1094,31740.8926
1610049600000,36351.9297,40302.4414,32401.416
1610064000000,36677.8945,40490.2891,32865.4961
1610078400000,37025.2148,40714.5273,33335.8984
1610092800000,37541.2852,41528.1602,33554.4102
1610107200000,37976.1055,42014.8008,33937.4141
1610121600000,38358.75,42241.9375,34475.5625
1610136000000,38780.6445,42246.6211,35314.6641
1610150400000,39151.3945,41970.7539,36332.0312
1610164800000,39345.1797,41873.0859,36817.2695
1610179200000,39562.4648,41969.2578,37155.668
1610193600000,39827.5,41803.9062,37851.0938
1610208000000,40028.1797,41774.6992,38281.6562
1610222400000,40112.1055,41788.4727,38435.7383
1610236800000,40214.1445,41809.1992,38619.0859
1610251200000,40330.6445,41938.2422,38723.043
1610265600000,40385.7148,41758.707,39012.7227
1610280000000,40440.1797,41629.3047,39251.0547
1610294400000,40153.5352,41990.1562,38316.9141
1610308800000,39960.6445,41990.9453,37930.3398
1610323200000,39602.75,42668.7227,36536.7773
1610337600000,39156.7852,43173.3164,35140.2539
1610352000000,38726.9297,43436.9609,34016.8945
1610366400000,38149.9297,44105.5078,32194.3477
1610380800000,37552.6445,44046.0781,31059.209
1610395200000,37171.5,43515.1914,30827.8086
1610409600000,36758.4297,42851.5469,30665.3105
1610424000000,36484.3555,42252.1055,30716.6094
1610438400000,36118.0703,41440.2539,30795.8887
1610452800000,35596.1445,40239.3945,30952.8906
1610467200000,35278.7148,39492.75,31064.6797
1610481600000,34873.3203,38326.2773,31420.3633
1610496000000,34611.5352,37792.6641,31430.4062
1610510400000,34381.6797,36877.4258,31885.9297
1610524800000,34306.7852,36733.8281,31879.7441
1610539200000,34328.1797,36762.3789,31893.9805
1610553600000,34459.5,37040.0156,31878.9863
1610568000000,34880.9297,37328.1914,32433.6641
1610582400000,35226.1797,37456.2539,32996.1055
1610596800000,35437.1055,38167.0625,32707.1504
1610611200000,35680.3555,38796.6094,32564.1035
1610625600000,35897.6055,39575.3164,32219.8984
1610640000000,36220.8555,40431.9141,32009.7988
1610654400000,36600.8945,40838.3555,32363.4297
1610668800000,36887.9648,41119.3438,32656.584
1610683200000,37201.1055,41183.9219,33218.293
1610697600000,37512.1055,41027.5273,33996.6875
1610712000000,37546.7852,40970.9297,34122.6406
1610726400000,37599.8555,40844.6367,34355.0742
1610740800000,37747.4648,40611.4531,34883.4766
1610755200000,37783.9648,40570.5039,34997.4258
1610769600000,37727.1797,40572.7266,34881.6328
1610784000000,37772.75,40597.1758,34948.3242
1610798400000,37720.6797,40532.8164,34908.5391
1610812800000,37575.6797,40437.1289,34714.2305
1610827200000,37320.6055,40083.793,34557.4219
1610841600000,37055.7148,39446.1094,34665.3164
1610856000000,36742.8555,39104.1719,34381.543
1610870400000,36495.8203,38691.0586,34300.5859
1610884800000,36305.0703,38247.3711,34362.7734
1610899200000,36128.3203,37808.6953,34447.9492
1610913600000,36156.2148,37805.8945,34506.5312
1610928000000,36153.9648,37809.3281,34498.6016
1610942400000,36109.4297,37732.8945,34485.9648
1610956800000,36106.6055,37727.3281,34485.8867
1610971200000,36095.1445,37703.2109,34487.0742
1610985600000,35969.6055,37293.5977,34645.6172
1611000000000,35906.2148,36983.8047,34828.625
1611014400000,35920.0352,37026.7656,34813.3086
1611028800000,36014.8945,37319.8672,34709.918
1611043200000,36098.6445,37588.2227,34609.0664
1611057600000,36287.5,37722.0117,34852.9883
1611072000000,36362.6445,37682.332,35042.9531
1611086400000,36369.2148,37677.5234,35060.9023
1611100800000,36323.5703,37766.6367,34880.5039
1611115200000,36307.1055,37775.1094,34839.1055
1611129600000,36258.0352,37918.0625,34598.0078
1611144000000,36121.6055,38091.707,34151.5039
1611158400000,36032.1445,38041.832,34022.4531
1611172800000,35965.8555,37975.1484,33956.5664
1611187200000,35868.3555,37993.9648,33742.75
1611201600000,35723.3555,37889.4688,33557.2461
1611216000000,35407.2852,38183.418,32631.1523
1611230400000,34987.4648,38250.0391,31724.8887
1611244800000,34634.3203,37840.0703,31428.5723
1611259200000,34163.7852,37532.3203,30795.25
1611273600000,33780.4648,37296.1641,30264.7637
1611288000000,33423.5703,37042.2305,29804.9121
1611302400000,33189.8945,36790.6797,29589.1055
1611316800000,32964.5352,36307.1562,29621.916
1611331200000,32908.8555,36178.5508,29639.1621
1611345600000,32822.9297,36014.3047,29631.5508
1611360000000,32620.8223,35521.8984,29719.7441
1611374400000,32437.4648,34863.4492,30011.4805
1611388800000,32227.75,34352.3789,30103.1211
1611403200000,32032.7852,33688.7539,30376.8164
1611417600000,32047.5723,33711.5156,30383.627
1611432000000,32097.8223,33720.5547,30475.0898
1611446400000,32100.5,33725.7969,30475.2051
